uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
G5E897,,Kdelc2,0.5705,-0.03459,0.4546,-0.04716,0.0047,-0.2948,0.8729,0.02594
G5E8F4,,Fpgt,0.0726,-0.1095,0.0074,0.1689,0.0005,-0.3621,0.9862,0.00281
G5E8K5,Ankyrin-3,Ank3,0.8246,0.01352,0.8912,-0.008625,0.0411,-0.2127,0.4815,-0.1142
G5E8P0,,Tubgcp6,0.3803,0.05349,0.5855,0.0344,0.4884,-0.07217,0.7932,-0.04251
G5E8P1,,Brd1,0.225,-0.07398,0.2424,-0.07374,0.7328,-0.03556,0.5365,0.1002
O08528,Hexokinase-2,Hk2,0.3928,0.0521,0.2197,0.07742,0.0006,0.3557,0.7724,0.04691
O08529,Calpain-2 catalytic subunit,Capn2,0.975,-0.001912,0.3206,0.06265,0.0114,0.2634,0.9531,0.009533
O08532,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,Cacna2d1,0.7068,-0.02294,0.9274,-0.005744,0.0015,0.3307,0.4646,-0.1186
O08539,Myc box-dependent-interacting protein 1,Bin1,0.7324,0.02085,0.8187,0.01446,0.0993,0.1717,0.6928,-0.06407
O08547,Vesicle-trafficking protein SEC22b,Sec22b,0.4574,0.04532,0.4627,0.04633,0.0077,0.2776,0.7154,-0.05912
O08553,Dihydropyrimidinase-related protein 2,Dpysl2,0.7331,-0.02079,0.7856,-0.01716,0.0411,0.2128,0.5385,-0.09976
O08573,Galectin-9,Lgals9,0.4331,0.0478,0.5107,-0.04149,0.0001,0.4031,0.3268,-0.159
O08579,Emerin,Emd,0.9537,-0.003542,0.3019,0.06512,0.8238,-0.02319,0.9287,-0.01452
O08582,GTP-binding protein 1,Gtpbp1,0.1379,-0.09046,0.9718,0.002229,0.3068,-0.1064,0.7981,0.04148
O08583,THO complex subunit 4;Aly/REF export factor 2,Alyref;Alyref2,0.3747,-0.05413,0.8924,0.008535,0.0283,-0.2285,0.6331,0.07743
O08585,Clathrin light chain A,Clta,0.8899,-0.008442,0.5664,-0.03617,0.1115,-0.1658,0.6272,0.07876
O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Pten,0.4087,-0.05037,0.935,0.005145,0.0718,-0.1875,0.7813,0.04501
O08599,Syntaxin-binding protein 1,Stxbp1,0.5806,0.03369,0.8892,0.008791,0.6598,0.04586,0.4557,-0.121
O08638,Myosin-11,Myh11,0.373,0.05432,0.0387,0.1304,0.0001,-0.4042,0.2175,0.2
O08663,Methionine aminopeptidase 2,Metap2,0.2288,-0.07337,0.3679,-0.05679,0.0017,-0.3269,0.6866,0.06543
O08664,B-cell CLL/lymphoma 7 protein family member C,Bcl7c,0.1406,-0.08985,0.605,0.03262,0.0001,-0.4918,0.6312,0.07784
O08688,Calpain-5,Capn5,0.8202,0.01386,0.6903,-0.02513,0.3498,0.09738,0.1757,-0.2196
O08709,Peroxiredoxin-6,Prdx6,0.4444,-0.04663,0.8216,-0.01422,0.9374,0.008185,0.73,0.05597
O08712,Tumor necrosis factor receptor superfamily member 11B,Tnfrsf11b,0.0003,0.2184,0.9251,-0.005926,0.0001,1.053,0.5951,-0.0862
O08715,"A-kinase anchor protein 1, mitochondrial",Akap1,0.5086,0.04031,0.6443,0.02912,0.5185,0.06725,0.8723,-0.02606
O08734,Bcl-2 homologous antagonist/killer,Bak1,0.5168,0.03953,0.587,0.03426,0.8086,0.02523,0.8154,-0.03786
O08736,Caspase-12,Casp12,0.3953,-0.05183,0.144,-0.09216,0.0001,-0.6398,0.2473,-0.1876
O08738,Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11,Casp6,0.4418,-0.0469,0.5836,-0.03457,0.1546,-0.1483,0.8746,0.0256
O08739,AMP deaminase 3,Ampd3,0.115,0.0961,0.5768,0.0352,0.3579,0.09575,0.0256,-0.3619
O08740,DNA-directed RNA polymerase II subunit RPB11,Polr2j,0.7662,-0.01813,0.8497,0.01195,0.0205,-0.2413,0.7766,0.04602
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial",Dld,0.4489,0.04617,0.5424,0.03843,0.0988,-0.1719,0.8825,-0.02396
O08756,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,0.5555,-0.03595,0.7171,-0.02285,0.0001,-0.5191,0.6315,-0.07779
O08759,Ubiquitin-protein ligase E3A,Ube3a,0.9574,-0.00326,0.5869,0.03427,0.8211,0.02356,0.5052,0.1081
O08784,Treacle protein,Tcof1,0.4887,-0.04222,0.7332,-0.0215,0.0001,-0.4473,0.8864,-0.02316
O08788,Dynactin subunit 1,Dctn1,0.9238,-0.005832,0.8168,-0.01461,0.9557,-0.005788,0.977,0.004666
O08795,Glucosidase 2 subunit beta,Prkcsh,0.3878,0.05266,0.8377,0.01292,0.8684,-0.01726,0.6488,0.07386
O08796,Eukaryotic elongation factor 2 kinase,Eef2k,0.1287,-0.09264,0.573,-0.03555,0.0006,-0.3598,0.8046,-0.04012
O08800,Serpin B8,Serpinb8,0.7504,0.01939,0.7766,-0.0179,0.0306,0.2253,0.5652,-0.09326
O08807,Peroxiredoxin-4,Prdx4,0.3416,0.05799,0.484,0.04415,0.2249,-0.1264,0.5162,-0.1053
O08808,Protein diaphanous homolog 1,Diaph1,0.6223,0.03003,0.5545,0.03728,0.5114,0.0684,0.6394,-0.07598
O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,0.6191,-0.03031,0.7582,0.01941,0.0219,-0.2387,0.6701,0.06909
O08832,Polypeptide N-acetylgalactosaminyltransferase 4,Galnt4,0.8142,-0.01433,0.647,0.02888,0.3515,-0.09705,0.6691,0.06932
O08848,60 kDa SS-A/Ro ribonucleoprotein,Trove2,0.8184,-0.014,0.6437,0.02918,0.939,-0.007969,0.7117,0.05993
O08852,Polycystin-1,Pkd1,0.0038,-0.1764,0.0572,-0.12,0.0045,-0.2957,0.3528,-0.1507
O08908,Phosphatidylinositol 3-kinase regulatory subunit beta,Pik3r2,0.5211,-0.03912,0.6936,-0.02485,0.7007,-0.04004,0.9727,0.005554
O08911,Mitogen-activated protein kinase 12,Mapk12,0.7603,0.0186,0.0001,-0.2623,0.1593,-0.1466,0.5347,0.1007
O08912,Polypeptide N-acetylgalactosaminyltransferase 1;Polypeptide N-acetylgalactosaminyltransferase 1 soluble form,Galnt1,0.224,0.07415,0.0975,0.1045,0.0001,0.4532,0.3335,-0.1568
O08915,AH receptor-interacting protein,Aip,0.6942,-0.02398,0.3965,-0.05348,0.0425,-0.2113,0.7718,0.04703
O08917,Flotillin-1,Flot1,0.6987,0.02361,0.8515,-0.01181,0.0574,-0.1979,0.4367,-0.1261
O08919,Numb-like protein,Numbl,0.5758,0.03412,0.9963,0.0002899,0.5059,0.0693,0.5373,-0.1001
O08967,Cytohesin-3,Cyth3,0.5549,-0.036,0.798,-0.01614,0.0001,-0.4206,0.1815,-0.2167
O08970,Tuftelin,Tuft1,0.0074,0.1633,0.1852,-0.08358,0.0001,0.4559,0.3928,-0.1386
O08983,Hermansky-Pudlak syndrome 1 protein homolog,Hps1,0.9567,-0.003308,0.8735,-0.01005,0.0963,-0.1732,0.7408,0.05364
O08989,Ras-related protein M-Ras,Mras,0.5307,0.03823,0.8459,0.01226,0.0681,-0.19,0.5917,-0.08699
O08992,Syntenin-1,Sdcbp,0.8764,0.009483,0.435,-0.04924,0.3677,-0.09383,0.3817,-0.1419
O08997,Copper transport protein ATOX1,Atox1,0.3629,0.05548,0.5624,-0.03654,0.2836,0.1117,0.3238,-0.16
O08999,Latent-transforming growth factor beta-binding protein 2,Ltbp2,0.0215,-0.1402,0.3893,-0.05431,0.0009,-0.3472,0.0623,0.3023
O09000,Nuclear receptor coactivator 3,Ncoa3,0.1338,-0.09143,0.5505,-0.03766,0.2618,0.1169,0.072,0.2918
O09005,Sphingolipid delta(4)-desaturase DES1,Degs1,0.3899,0.05243,0.9791,-0.001653,0.0007,0.352,0.6761,0.06774
O09012,Peroxisomal targeting signal 1 receptor,Pex5,0.55,-0.03644,0.5215,-0.04043,0.4368,-0.081,0.9745,0.005187
O09044,Synaptosomal-associated protein 23,Snap23,0.336,0.05866,0.9341,0.005216,0.1934,0.1355,0.6452,-0.07467
O09061,Proteasome subunit beta type-1,Psmb1,0.8297,0.01311,0.9596,0.003194,0.966,-0.004435,0.9864,0.002768
O09106,Histone deacetylase 1,Hdac1,0.4068,-0.05058,0.7112,0.02335,0.0764,-0.1846,0.6189,0.08066
O09110,Dual specificity mitogen-activated protein kinase kinase 3,Map2k3,0.4314,0.04797,0.2789,0.0683,0.8542,-0.01914,0.8317,0.03447
O09111,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",Ndufb11,0.3265,0.05983,0.5139,0.04117,0.8765,0.01619,0.8835,0.02377
O09117,Synaptophysin-like protein 1,Sypl1,0.5392,0.03744,0.3704,0.0565,0.072,0.1874,0.8811,-0.02426
O09118,Netrin-1,Ntn1,0.0001,-0.3309,0.0562,-0.1205,0.0366,0.2177,0.0979,-0.2684
O09130,NFATC2-interacting protein,Nfatc2ip,0.0001,-0.254,0.0001,0.3007,0.0519,-0.2025,0.0033,-0.4762
O09131,Glutathione S-transferase omega-1,Gsto1,0.6705,0.02594,0.9421,0.004581,0.0001,0.5188,0.8614,-0.02831
O09159,Lysosomal alpha-mannosidase,Man2b1,0.4049,-0.05078,0.1272,-0.09621,0.0001,-0.5219,0.9074,0.01886
O09164,Extracellular superoxide dismutase [Cu-Zn],Sod3,0.563,0.03526,0.0737,-0.1128,0.0001,-0.4146,0.6496,-0.07367
O09167,60S ribosomal protein L21,Rpl21,0.8659,0.01029,0.9934,0.0005218,0.0831,0.1805,0.5728,0.09145
O09172,Glutamate--cysteine ligase regulatory subunit,Gclm,0.2666,0.06774,0.6332,0.0301,0.6337,-0.04964,0.9359,0.01303
O09174,Alpha-methylacyl-CoA racemase,Amacr,0.5877,-0.03306,0.1954,0.08168,0.0388,0.2152,0.912,0.01792
O35066,Kinesin-like protein KIF3C,Kif3c,0.6455,-0.02805,0.1275,-0.09614,0.2463,-0.1208,0.9831,0.003435
O35071,Kinesin-like protein KIF1C,Kif1c,0.8363,-0.0126,0.948,0.004114,0.6517,0.04702,0.8169,-0.03754
O35074,Prostacyclin synthase,Ptgis,0.0102,-0.1567,0.713,0.0232,0.0003,-0.3749,0.2353,0.1925
O35075,Down syndrome critical region protein 3 homolog,Dscr3,0.9426,-0.004393,0.8471,0.01217,0.5849,-0.0569,0.8478,-0.03112
O35083,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Agpat1,0.8603,0.01073,0.9122,-0.006953,0.147,0.151,0.9658,-0.006955
O35114,Lysosome membrane protein 2,Scarb2,0.0915,-0.1029,0.9293,0.005597,0.0001,-0.5394,0.8061,-0.0398
O35126,Atrophin-1,Atn1,0.0306,0.1318,0.9261,0.005851,0.8111,-0.02489,0.4793,0.1147
O35127,Protein C10,Grcc10,0.5371,-0.03763,0.5332,-0.0393,0.7442,0.03398,0.7861,0.044
O35129,Prohibitin-2,Phb2,0.538,0.03755,0.3221,0.06246,0.1035,-0.1696,0.6347,0.07704
O35130,Ribosomal RNA small subunit methyltransferase NEP1,Emg1,0.1294,-0.09247,0.2735,0.06907,0.4793,-0.07368,0.3321,0.1573
O35134,DNA-directed RNA polymerase I subunit RPA1,Polr1a,0.6214,-0.03011,0.6441,-0.02914,0.8144,0.02445,0.5328,0.1012
O35143,"ATPase inhibitor, mitochondrial",Atpif1,0.8032,0.01519,0.8012,0.01588,0.0006,-0.356,0.8159,0.03776
O35144,Telomeric repeat-binding factor 2,Terf2,0.0593,0.115,0.5288,0.03973,0.0034,-0.3048,0.8659,0.02739
O35153,BET1-like protein,Bet1l,0.2183,0.07507,0.7943,0.01644,0.0046,0.2953,0.7861,0.044
O35166,Golgi SNAP receptor complex member 2,Gosr2,0.7011,-0.0234,0.8619,-0.01097,0.9836,0.002137,0.8666,-0.02724
O35177,Enhancer of filamentation 1,Nedd9,0.1721,0.08325,0.5195,0.04063,0.0001,-0.4557,0.8925,-0.02191
O35188,Fractalkine;Processed fractalkine,Cx3cl1,0.0001,0.2678,0.3075,-0.06437,0.0004,-0.3678,0.5254,-0.103
O35207,Cyclin-dependent kinase 2-associated protein 1;Cyclin-dependent kinase 2-associated protein 2,Cdk2ap1;Cdk2ap2,0.1314,-0.09198,0.2325,0.07531,0.1323,-0.1568,0.9279,0.01468
O35215,D-dopachrome decarboxylase,Ddt,0.7101,-0.02266,0.3835,-0.05497,0.0203,-0.2417,0.9826,0.003531
O35216,Histone H3-like centromeric protein A,Cenpa,0.8606,0.01071,0.0982,-0.1043,0.0246,-0.2341,0.6873,0.06528
O35218,Cleavage and polyadenylation specificity factor subunit 2,Cpsf2,0.626,0.02972,0.9461,-0.004266,0.0284,-0.2282,0.6761,0.06775
O35226,26S proteasome non-ATPase regulatory subunit 4,Psmd4,0.8753,-0.009567,0.4993,0.04261,0.9175,-0.01078,0.8815,-0.02417
O35226,26S proteasome non-ATPase regulatory subunit 4,Psmd4,0.4412,0.04696,0.545,0.03817,0.7745,-0.02984,0.9856,0.00293
O35231,Kinesin-like protein KIFC3,Kifc3,0.6175,0.03045,0.0261,-0.1403,0.8877,-0.01471,0.7266,-0.0567
O35239,Tyrosine-protein phosphatase non-receptor type 9,Ptpn9,0.4805,0.04302,0.608,-0.03235,0.9586,-0.005401,0.7793,-0.04545
O35242,Protein FAN,Nsmaf,0.8659,-0.0103,0.1502,0.09075,0.3388,-0.09963,0.5678,0.09264
O35245,Polycystin-2,Pkd2,0.2211,0.07461,0.0811,-0.11,0.8942,-0.01385,0.2409,-0.1902
O35250,Exocyst complex component 7,Exoc7,0.6827,-0.02493,0.6773,-0.02625,0.1977,0.1342,0.7926,-0.04264
O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,0.4301,-0.04811,0.6741,0.02652,0.0375,-0.2167,0.3919,0.1389
O35295,Transcriptional activator protein Pur-beta,Purb,0.8618,-0.01062,0.9001,-0.007919,0.6394,-0.0488,0.8542,0.0298
O35309,N-myc-interactor,Nmi,0.1601,-0.08565,0.0662,-0.1159,0.0001,-0.6355,0.468,0.1177
O35316,Sodium- and chloride-dependent taurine transporter,Slc6a6,0.8039,0.01514,0.7873,0.01702,0.0001,1.037,0.3607,0.1482
O35317,Pre-B-cell leukemia transcription factor 3,Pbx3,0.0012,-0.1971,0.1755,0.08545,0.0001,-0.5402,0.789,-0.0434
O35326,Serine/arginine-rich splicing factor 5,Srsf5,0.2484,-0.07038,0.9071,0.007362,0.003,-0.3086,0.3684,0.1459
O35343,Importin subunit alpha-3,Kpna4,0.8152,0.01425,0.4063,0.05238,0.5706,0.05907,0.8162,0.03769
O35344,Importin subunit alpha-4,Kpna3,0.9373,0.004794,0.3142,0.06348,0.9128,0.0114,0.9887,-0.002307
O35345,Importin subunit alpha-7,Kpna6,0.9728,-0.002077,0.0999,0.1038,0.0375,0.2167,0.9289,0.01447
O35350,Calpain-1 catalytic subunit,Capn1,0.9313,0.005254,0.9783,0.001718,0.5779,0.05797,0.5065,-0.1077
O35375,Neuropilin-2,Nrp2,0.3671,-0.055,0.0868,-0.108,0.0001,0.4085,0.9277,-0.01472
O35379,Multidrug resistance-associated protein 1,Abcc1,0.4209,0.04907,0.3472,0.0593,0.3152,-0.1046,0.5034,-0.1085
O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Anp32a,0.3385,-0.05837,0.6747,-0.02647,0.0052,-0.2914,0.3734,0.1443
O35382,Exocyst complex component 4,Exoc4,0.9185,-0.006238,0.9428,0.004524,0.0838,0.1801,0.6498,-0.07363
O35387,HCLS1-associated protein X-1,Hax1,0.6084,0.03124,0.8019,0.01582,0.2104,-0.1304,0.956,0.008944
O35405,Phospholipase D3,Pld3,0.6485,-0.02779,0.7703,-0.01841,0.0014,-0.3324,0.7251,0.05703
O35425,Bcl-2-related ovarian killer protein,Bok,0.6603,0.0268,0.4512,0.04752,0.1659,0.1443,0.3881,-0.14
O35427,DNA-directed RNA polymerase III subunit RPC9,Crcp,0.6446,0.02813,0.4626,-0.04633,0.5947,0.05541,0.2514,0.186
O35435,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dhodh,0.7315,-0.02092,0.3288,0.0616,0.0154,-0.2524,0.943,0.0116
O35445,E3 ubiquitin-protein ligase RNF5,Rnf5,0.0001,0.2322,0.0001,0.3236,0.2501,0.1198,0.7697,0.04747
O35450,FK506-binding protein-like,Fkbpl,0.1071,0.09826,0.6513,0.02851,0.1375,0.1547,0.9392,0.01237
O35459,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Ech1,0.6773,0.02538,0.8345,0.01318,0.0152,-0.2528,0.4876,-0.1126
O35465,Peptidyl-prolyl cis-trans isomerase FKBP8,Fkbp8,0.9541,0.003511,0.993,-0.0005528,0.2949,0.1091,0.9087,-0.01859
O35473,Nuclear nucleic acid-binding protein C1D,C1d,0.4105,-0.05019,0.3719,0.05633,0.0397,-0.2143,0.6053,0.08382
O35486,Beta-crystallin S,Crygs,0.5908,-0.03279,0.5718,-0.03566,0.0001,-1.01,0.4978,-0.11
O35490,Betaine--homocysteine S-methyltransferase 1,Bhmt,0.9493,0.003873,0.3018,0.06513,0.0008,0.348,0.4163,-0.1318
O35495,Cyclin-dependent kinase 14,Cdk14,0.1012,-0.09995,0.9184,-0.006462,0.0017,-0.3271,0.9849,-0.003069
O35516,Neurogenic locus notch homolog protein 2;Notch 2 extracellular truncation;Notch 2 intracellular domain,Notch2,0.4358,-0.04751,0.9425,0.004548,0.0237,-0.2356,0.6939,0.06384
O35551,Rab GTPase-binding effector protein 1,Rabep1,0.9442,0.004264,0.4549,-0.04713,0.8409,-0.02091,0.8168,0.03756
O35566,CD151 antigen,Cd151,0.0994,0.1005,0.0718,0.1136,0.0003,0.38,0.7294,-0.05609
O35593,26S proteasome non-ATPase regulatory subunit 14,Psmd14,0.5705,0.03459,0.2659,0.07017,0.9838,0.002117,0.9982,0.0003743
O35594,Intraflagellar transport protein 81 homolog,Ift81,0.5806,0.03369,0.2345,0.07498,0.2369,-0.1232,0.8322,0.03437
O35598,Disintegrin and metalloproteinase domain-containing protein 10,Adam10,0.6988,-0.02359,0.9053,0.007503,0.0754,0.1852,0.9274,0.01478
O35604,Niemann-Pick C1 protein,Npc1,0.9542,0.003502,0.5708,0.03576,0.0197,-0.2428,0.8622,0.02815
O35607,Bone morphogenetic protein receptor type-2,Bmpr2,0.9502,0.003807,0.3403,-0.06015,0.0233,-0.2362,0.8843,0.02361
O35608,Angiopoietin-2,Angpt2,0.0343,-0.1291,0.0035,0.1844,0.0001,-0.476,0.1272,0.2473
O35609,Secretory carrier-associated membrane protein 3,Scamp3,0.511,0.04008,0.8973,-0.008143,0.6513,0.04707,0.7951,-0.04211
O35613,Death domain-associated protein 6,Daxx,0.3351,-0.05877,0.2756,0.06878,0.1363,-0.1552,0.4875,-0.1126
O35621,Phosphomannomutase 1,Pmm1,0.3825,-0.05325,0.9851,0.001181,0.4006,-0.08755,0.8687,0.0268
O35623,BET1 homolog,Bet1,0.6777,0.02534,0.9795,0.001623,0.2169,-0.1286,0.7623,0.04904
O35625,Axin-1,Axin1,0.1075,-0.09813,0.4601,-0.04659,0.2762,-0.1134,0.3041,-0.1667
O35632,Hyaluronidase-2,Hyal2,0.8427,0.0121,0.6309,0.0303,0.2522,-0.1193,0.2997,-0.1682
O35638,Cohesin subunit SA-2,Stag2,0.6334,-0.02908,0.3408,0.06008,0.0039,-0.3006,0.8247,0.03593
O35639,Annexin A3,Anxa3,0.8386,-0.01242,0.812,0.015,0.3237,0.1028,0.4801,0.1145
O35640,Annexin A8,Anxa8,0.1519,-0.08738,0.0768,0.1116,0.0001,0.4407,0.9931,0.001407
O35643,AP-1 complex subunit beta-1,Ap1b1,0.6206,-0.03018,0.624,-0.03092,0.6426,-0.04834,0.9822,0.003622
O35648,Centrin-3,Cetn3,0.6345,0.02899,0.9864,-0.001072,0.8055,0.02565,0.4545,-0.1213
O35657,Sialidase-1,Neu1,0.2606,-0.06859,0.0005,-0.2198,0.0005,-0.3618,0.8956,-0.02129
O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp,0.6111,0.031,0.0035,0.1844,0.2106,-0.1304,0.7416,0.05347
O35671,Integrin beta-1-binding protein 1,Itgb1bp1,0.0103,-0.1564,0.1432,0.09234,0.0436,-0.2102,0.4741,-0.1161
O35678,Monoglyceride lipase,Mgll,0.9094,-0.006935,0.4267,-0.05013,0.0017,0.3268,0.3523,-0.1509
O35680,"28S ribosomal protein S12, mitochondrial",Mrps12,0.5896,0.03289,0.2014,-0.08058,0.2073,0.1314,0.7527,0.0511
O35682,Myeloid-associated differentiation marker,Myadm,0.4139,0.04982,0.5683,0.03599,0.0963,0.1732,0.7711,0.04719
O35683,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,Ndufa1,0.0007,0.2065,0.5873,-0.03424,0.0344,-0.2203,0.8657,-0.02743
O35685,Nuclear migration protein nudC,Nudc,0.9373,0.004799,0.6449,0.02907,0.3135,-0.105,0.7467,0.05238
O35691,Pinin,Pnn,0.6811,0.02506,0.8138,0.01485,0.0034,-0.3046,0.3991,0.1367
O35704,Serine palmitoyltransferase 1,Sptlc1,0.5718,0.03447,0.2631,0.07058,0.4154,0.08483,0.6061,0.08362
O35709,Ectoderm-neural cortex protein 1,Enc1,0.5742,-0.03426,0.8785,-0.009639,0.0837,0.1802,0.9641,-0.007304
O35730,E3 ubiquitin-protein ligase RING1,Ring1,0.0046,-0.1726,0.7811,-0.01753,0.0004,-0.3717,0.2224,0.1979
O35737,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",Hnrnph1,0.2727,-0.06688,0.8126,0.01496,0.0008,-0.3476,0.4482,0.123
O35841,Apoptosis inhibitor 5,Api5,0.4961,-0.04151,0.9,-0.007927,0.0034,-0.3056,0.4836,0.1136
O35855,"Branched-chain-amino-acid aminotransferase, mitochondrial",Bcat2,0.6099,-0.03111,0.5061,0.04194,0.1786,-0.1401,0.8532,-0.03001
O35857,Mitochondrial import inner membrane translocase subunit TIM44,Timm44,0.5453,0.03688,0.2272,0.07617,0.3304,-0.1014,0.9833,-0.003402
O35864,COP9 signalosome complex subunit 5,Cops5,0.3871,-0.05273,0.9494,0.004002,0.9641,0.004683,0.6807,0.06674
O35874,Neutral amino acid transporter A,Slc1a4,0.3075,0.06222,0.851,0.01185,0.9336,-0.008681,0.1948,-0.2102
O35887,Calumenin,Calu,0.7695,-0.01787,0.5302,0.0396,0.0832,-0.1805,0.7957,0.04199
O35900,U6 snRNA-associated Sm-like protein LSm2,Lsm2,0.4288,-0.04824,0.2106,0.07897,0.0014,-0.3335,0.5137,0.1059
O35929,GTP-binding protein REM 1,Rem1,0.1287,-0.09265,0.0891,0.1073,0.0811,0.1817,0.6145,0.08169
O35943,"Frataxin, mitochondrial;Frataxin intermediate form;Frataxin mature form",Fxn,0.3727,0.05436,0.9374,-0.004954,0.023,-0.2368,0.6474,0.07418
O35945,"Aldehyde dehydrogenase, cytosolic 1",Aldh1a7,0.6208,-0.03017,0.8786,-0.009631,0.0001,-0.8661,0.1138,-0.2564
O35954,Membrane-associated phosphatidylinositol transfer protein 1,Pitpnm1,0.6761,-0.02547,0.2029,-0.08031,0.4264,-0.08284,0.9459,-0.01101
O35955,Proteasome subunit beta type-10,Psmb10,0.5692,-0.03471,0.8234,-0.01408,0.081,-0.1817,0.791,0.04298
O35963,Ras-related protein Rab-33B,Rab33b,0.9818,-0.001391,0.8463,0.01223,0.4744,0.07451,0.9082,0.01869
O35969,Guanidinoacetate N-methyltransferase,Gamt,0.692,-0.02416,0.861,0.01104,0.0001,-0.3992,0.8389,-0.03297
O35972,"39S ribosomal protein L23, mitochondrial",Mrpl23,0.4448,-0.04659,0.6628,0.02751,0.2078,-0.1312,0.7525,-0.05114
O35988,Syndecan-4,Sdc4,0.0354,-0.1283,0.3218,-0.06249,0.8774,0.01606,0.4476,0.1231
O54692,Centromere/kinetochore protein zw10 homolog,Zw10,0.392,0.05219,0.9933,-0.0005307,0.3992,0.08781,0.6269,0.07883
O54724,Polymerase I and transcript release factor,Ptrf,0.8927,-0.008224,0.9586,-0.003276,0.0001,-0.4232,0.7288,0.05624
O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,0.6211,0.03014,0.5256,0.04003,0.8038,-0.02587,0.8647,-0.02763
O54754,Aldehyde oxidase 1,Aox1,0.0104,-0.1562,0.5299,-0.03962,0.0664,-0.1912,0.6014,-0.08472
O54774,AP-3 complex subunit delta-1,Ap3d1,0.9826,0.001331,0.4879,0.04375,0.3348,0.1005,0.9697,-0.006166
O54775,WNT1-inducible-signaling pathway protein 1,Wisp1,0.9039,0.007361,0.4136,-0.05157,0.3498,-0.09739,0.4929,0.1112
O54781,SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal,Srpk2,0.8926,-0.008231,0.1848,0.08365,0.3426,0.09885,0.4974,0.11
O54782,Epididymis-specific alpha-mannosidase,Man2b2,0.4399,-0.04709,0.3816,-0.05518,0.0001,-0.4362,0.5835,-0.08892
O54784,Death-associated protein kinase 3,Dapk3,0.8144,-0.01431,0.6546,0.02822,0.758,0.0321,0.5105,0.1067
O54785,LIM domain kinase 2,Limk2,0.0571,0.116,0.0994,0.1039,0.0004,0.3659,0.5519,0.09648
O54786,DNA fragmentation factor subunit alpha,Dffa,0.6062,0.03143,0.0445,-0.1267,0.5071,-0.06909,0.9424,0.01171
O54804,Choline kinase alpha,Chka,0.8063,0.01495,0.2497,-0.0726,0.1289,0.1582,0.7649,0.04849
O54818,Tumor protein D53,Tpd52l1,0.2281,0.07349,0.7501,0.02009,0.705,-0.03943,0.9314,-0.01396
O54819,Tissue factor pathway inhibitor,Tfpi,0.9353,0.004947,0.089,0.1073,0.774,-0.02991,0.7407,0.05366
O54825,Bystin,Bysl,0.6247,0.02983,0.0754,0.1122,0.4053,0.08669,0.2229,0.1977
O54833,Casein kinase II subunit alpha,Csnk2a2,0.8332,-0.01284,0.7383,0.02107,0.9876,-0.001614,0.8128,0.0384
O54836,Zinc finger matrin-type protein 3,Zmat3,0.3577,0.05608,0.8013,0.01587,0.5767,-0.05815,0.8937,0.02167
O54879,High mobility group protein B3,Hmgb3,0.3812,-0.05339,0.0038,0.1827,0.0001,-0.463,0.0937,0.2718
O54890,Integrin beta-3,Itgb3,0.4152,0.04968,0.1456,-0.09179,0.0001,0.545,0.5185,0.1047
O54901,OX-2 membrane glycoprotein,Cd200,0.3819,-0.05332,0.0076,-0.1684,0.0001,1.16,0.8941,0.02159
O54910,NF-kappa-B inhibitor epsilon,Nfkbie,0.0661,-0.112,0.098,-0.1044,0.0001,-0.4165,0.4629,-0.119
O54916,RalBP1-associated Eps domain-containing protein 1,Reps1,0.7897,0.01626,0.7002,-0.02429,0.1495,-0.1501,0.8846,0.02354
O54931,A-kinase anchor protein 2,Akap2,0.6018,0.03182,0.8662,0.01063,0.0001,0.4632,0.5384,0.09977
O54940,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,Bnip2,0.8325,-0.0129,0.3478,-0.05922,0.7659,-0.03102,0.9694,0.006222
